id,bg,en,lat,type,level,topic,,,,
bg_00398,Нямаше климатик. (не 'не беше'),There was no air conditioning. , Nyamashe klimatik. (ne 'ne beshe'),MEDIUM PHRASE,EASY,none,,,,
bg_00399,Откъде взехте колата?,Where did you get the car?, Otkŭde vzekhte kolata?,MEDIUM PHRASE,EASY,none,,,,
bg_00400,паркове –два парка,parks - two parks, parkove –dva parka,MEDIUM PHRASE,EASY,none,,,,
bg_00401,Берлинската стена,Berlin Wall, Berlinskata stena,MEDIUM PHRASE,EASY,none,,,,
bg_00402,всички градове,all cities, vsichki gradove,MEDIUM PHRASE,EASY,none,,,,
bg_00403,символ/-и,symbol(s), simvol/-i,MEDIUM,EASY,none,,,,
bg_00404,плюшени мечета,teddy bears, plyusheni mecheta,MEDIUM PHRASE,EASY,none,,,,
bg_00405,същия(т) проблем,same problem, sŭshtiya(t) problem,MEDIUM,EASY,none,,,,
bg_00406,Може би приложението трябва да се зареди повторно.,Maybe the app needs to be reloaded., Mozhe bi prilozhenieto tryabva da se zaredi povtorno.,LONG PHRASE,EASY,none,,,,
bg_00407,деинсталира/-м,uninstall, deinstalira/-m,VERB,EASY,none,,,,
bg_00408,инсталира/-м,install, instalira/-m,VERB,EASY,none,,,,
bg_00409,спрян/-а/-о/-ени,stopped, spryan/-a/-o/-eni,MEDIUM,EASY,none,,,,
bg_00410,порязване,a cut (injury), poryazvane,MEDIUM,EASY,none,,,,
bg_00411,обиколка/-и,a tour, obikolka/-i,SHORT,EASY,none,,,,
bg_00412,фашистки/-тка/-тко/-тки,fascist adj., fashistki/-tka/-tko/-tki,ADJECTIVE,EASY,none,,,,
bg_00413,умрял/-а/-о/-ели (или 'починал/-а/-о/-и'),dead x2, umryal/-a/-o/-eli (ili 'pochinal/-a/-o/-i'),MEDIUM,EASY,none,,,,
bg_00414,порта/-и,gate, porta/-i,MEDIUM,EASY,none,,,,
bg_00415,изнася/-м реч,give a speech, iznasya/-m rech,VERB,EASY,none,,,,
bg_00416,трябва да не го е харесал,he must not have liked him, tryabva da ne go e kharesal,MEDIUM PHRASE,HARD,none,,,,
bg_00417,Бях развълнуван.,I was excited., Byakh razvŭlnuvan.,MEDIUM PHRASE,EASY,none,,,,
bg_00418,бих,I would, bikh,SHORT,EASY,none,,,,
bg_00419,Беше вълнуващо.,It was exciting., Beshe vŭlnuvashto.,MEDIUM PHRASE,EASY,none,,,,
bg_00420,ред/-ове,line, red/-ove,MEDIUM,EASY,none,,,,
bg_00421,художник/-ци,painter, khudozhnik/-tsi,MEDIUM,EASY,none,,,,
bg_00422,картина/-и,painting, kartina/-i,MEDIUM,EASY,none,,,,
bg_00423,кралица/-и,queen, kralitsa/-i,MEDIUM,EASY,none,,,,
bg_00424,"осъзнава/-м, осъзнае/-я",realize," osŭznava/-m, osŭznae/-ya",VERB,EASY,none,,,,
bg_00425,войник/-ци,soldier, voĭnik/-tsi,MEDIUM,EASY,none,,,,
bg_00426,първия(т) ред,the first line, pŭrviya(t) red,MEDIUM PHRASE,EASY,none,,,,
bg_00427,първото изречение,the first sentence, pŭrvoto izrechenie,MEDIUM PHRASE,EASY,none,,,,
bg_00428,мишката тичаше,the mouse was running, mishkata tichashe,MEDIUM PHRASE,EASY,none,,,,
bg_00429,екскурзовод/-и,tour guide, ekskurzovod/-i,MEDIUM,EASY,none,,,,
bg_00430,кой на кого говори,who is talking to whom, koĭ na kogo govori,MEDIUM PHRASE,HARD,none,,,,
bg_00431,галерия,gallery, galeriya,SHORT,EASY,none,,,,
bg_00432,тяло/ тела ,body/ies, tyalo/ tela ,MEDIUM,EASY,none,,,,
bg_00433,"когато купувам от 'Тему' (не 'купя', защото е всеки път)",when I buy from 'Temu' ," kogato kupuvam ot 'Temu' (ne 'kupya', zashtoto e vseki pŭt)",MEDIUM PHRASE,EASY,none,,,,
bg_00434,Не знам много за (не 'от') картините.,I don't know much about the paintings., Ne znam mnogo za (ne 'ot') kartinite.,LONG PHRASE,EASY,none,,,,
bg_00435,Питах ChatGPT. (без 'на'),I asked ChatGPT. , Pitakh ChatGPT. (bez 'na'),SHORT PHRASE,EASY,none,,,,
bg_00436,"картини, които съм виждал преди",paintings I've seen before," kartini, koito sŭm vizhdal predi",MEDIUM PHRASE,EASY,none,,,,
bg_00437,"Нямаше тези тапас, които познавам.",There weren't those tapas I know.," Nyamashe tezi tapas, koito poznavam.",MEDIUM PHRASE,EASY,none,,,,
bg_00438,акведукт/-и,aqueduct/s, akvedukt/-i,MEDIUM,EASY,none,,,,
bg_00439,манастир/-и,monastery/s, manastir/-i,MEDIUM,EASY,none,,,,
bg_00440,катедрала/-и,cathedral/s, katedrala/-i,MEDIUM,EASY,none,,,,
bg_00441,крипта/-и,crypt/s, kripta/-i,MEDIUM,EASY,none,,,,
bg_00442,телата на всички крале,the bodies of all the kings, telata na vsichki krale,MEDIUM PHRASE,EASY,none,,,,
bg_00443,стая за гниене ,rotting room, staya za gniene ,MEDIUM PHRASE,EASY,none,,,,
bg_00444,имаше една стая (не 'беше'),there was a room , imashe edna staya (ne 'beshe'),MEDIUM PHRASE,EASY,none,,,,
bg_00445,"Оставят ги там 30 години, преди да ги сложат/преместят в криптата.",They leave them there for 30 years before they put/move them to the crypt.," Ostavyat gi tam 30 godini, predi da gi slozhat/premestyat v kriptata.",LONG PHRASE,EASY,none,,,,
bg_00446,Имаше две тела там.,There were two bodies there., Imashe dve tela tam.,MEDIUM PHRASE,EASY,none,,,,
bg_00447,"катедрала, построена от Франко",cathedral built by Franco," katedrala, postroena ot Franko",MEDIUM PHRASE,EASY,none,,,,
bg_00448,фашист/-и (човек),fascist/s (person), fashist/-i (chovek),MEDIUM,EASY,none,,,,
bg_00449,фашистки войници,fascist soldiers, fashistki voĭnitsi,MEDIUM PHRASE,EASY,none,,,,
bg_00450,статуя/-и,statue/s, statuya/-i,MEDIUM,HARD,none,,,,
bg_00451,мавзолей/-и,mausoleum/s, mavzoleĭ/-i,MEDIUM,EASY,none,,,,
bg_00452,Винаги бърках испанския с българския.,I always confused Spanish with Bulgarian., Vinagi bŭrkakh ispanskiya s bŭlgarskiya.,LONG PHRASE,EASY,none,,,,
bg_00453,ветеринар/-и,vet/s, veterinar/-i,MEDIUM,EASY,none,,,,
bg_00454,Много се тревожим за него.,We're very worried about him., Mnogo se trevozhim za nego.,MEDIUM PHRASE,EASY,none,,,,
bg_00455,Не знаем какво да правим.,We don't know what to do., Ne znaem kakvo da pravim.,MEDIUM PHRASE,EASY,none,,,,
bg_00456,Бени ни разпозна и беше много щастлив.,Benny recognized us and was very happy., Beni ni razpozna i beshe mnogo shtastliv.,LONG PHRASE,EASY,none,,,,
bg_00457,Трябваше да разходя Бени.,I had to take Benny for a walk., Tryabvashe da razkhodya Beni.,MEDIUM PHRASE,EASY,none,,,,
bg_00458,мустачките ѝ потрепваха,her whiskers twitched, mustachkite ì potrepvakha,MEDIUM PHRASE,EASY,none,,,,
bg_00459,"Тогава осъзнах, че нямаше представа за какво говоря.",Then I realized she had no idea what I was talking about.," Togava osŭznakh, che nyamashe predstava za kakvo govorya.",LONG PHRASE,EASY,none,,,,
bg_00460,Чел съм книгата.,I have read the book., Chel sŭm knigata.,MEDIUM PHRASE,EASY,none,,,,
bg_00461,Домашната ми отне около 4 часа.,My homework took about 4 hours., Domashnata mi otne okolo 4 chasa.,MEDIUM PHRASE,EASY,none,,,,
bg_00462,предложение,A proposal, predlozhenie,MEDIUM PHRASE,EASY,none,,,,
bg_00463,предположение x2,"Assumption, guess", predpolozhenie x2,MEDIUM PHRASE,HARD,none,,,,
bg_00464,действие/-я,action, deĭstvie/-ya,MEDIUM,EASY,none,,,,
bg_00465,дейност/-и,activity, deĭnost/-i,MEDIUM,EASY,none,,,,
bg_00466,засрамен/-а/-о/-и,ashamed, zasramen/-a/-o/-i,MEDIUM,EASY,none,,,,
bg_00467,"донася/-м, донесе/-а",bring x 2 tenses," donasya/-m, donese/-a",VERB,EASY,none,,,,
bg_00468,подчинено изречение,clause,podchineno izrechenie,SHORT,EASY,none,,,,
bg_00469,дълг/-ове,debt,dŭlg/-ove,MEDIUM,HARD,none,,,,
bg_00470,домашно насилие,domestic violence, domashno nasilie,MEDIUM PHRASE,UNTESTED,none,,,,
bg_00471,изпарен/-а/-о/-и,evaporated, izparen/-a/-o/-i,MEDIUM,HARD,none,,,,
bg_00472,"проваля/-м се, провали/-я се",fail  x 2 tenses," provalya/-m se, provali/-ya se",VERB,EASY,none,,,,
bg_00473,файл/-ове,file, faĭl/-ove,MEDIUM,EASY,none,,,,
bg_00474,правителство/-а,government, pravitelstvo/-a,MEDIUM,EASY,none,,,,
bg_00475,растящ/-а/-о/-и ,growing (eg person), rastyasht/-a/-o/-i (person),MEDIUM,EASY,none,,,,
bg_00476,история x2,history; a story, istoriya x2,MEDIUM,EASY,none,,,,
bg_00477,в търсене на,in a search of, v tŭrsene na,MEDIUM PHRASE,HARD,none,,,,
bg_00478,задължен/-а/-о/-и,obliged, zadŭlzhen/-a/-o/-i,MEDIUM,HARD,none,,,,
bg_00479,натиск x2,pressure (e.g. to do something); the act of pressing down, natisk x2,MEDIUM,HARD,none,,,,
bg_00480,Натискът върху раната ще спре кървенето.,Put Pressure on the wound will stop the bleeding, Natiskŭt vŭrkhu ranata shte spre kŭrveneto.,LONG PHRASE,EASY,none,,,,
bg_00481,срам,shame, sram,SHORT,EASY,none,,,,
bg_00482,па̀ра x2,"steam, vapour", pàra x2,MEDIUM,HARD,none,,,,
bg_00483,"успява/-м, успее/-я",succeed x 2 tenses," uspyava/-m, uspee/-ya",VERB,EASY,none,,,,
bg_00484,"изпарява/-м се, изпари/-я се",to evaporate x2 tenses," izparyava/-m se, izpari/-ya se",VERB,HARD,none,,,,
bg_00485,насилие,violence, nasilie,MEDIUM,HARD,none,,,,
bg_00486,работа,work; job, rabota,MEDIUM,EASY,none,,,,
bg_00487,донесох – донесен/-а/-о/-и,I brought – brought, donesokh – donesen/-a/-o/-i,VERB,EASY,none,,,,
bg_00488,доставих – доставен/-а/-о/-и,delivered – delivered, dostavikh – dostaven/-a/-o/-i,VERB,EASY,none,,,,
bg_00489,започнах – започнат/-а/-о/-и,I started – started, zapochnakh – zapochnat/-a/-o/-i,VERB,EASY,none,,,,
bg_00490,изпие – изпит/-а/-о/-и,drink (perf) – drank up, izpie – izpit/-a/-o/-i,VERB,EASY,none,,,,
bg_00491,"аз летях, ти/той летеше ",I/you/he flew – past imperfect," az letyakh, ti/toĭ leteshe ",VERB,EASY,none,,,,
bg_00492,"аз летях, ти/той летя –","I flew, you/he flew – past perfect"," az letyakh, ti/toĭ letya –",VERB,EASY,none,,,,
bg_00493,пие – пит/-а/-о/-и,drink – drank (p part), pie – pit/-a/-o/-i,VERB,EASY,none,,,,
bg_00494,чуе – чут/-а/-о/-и,hear (perf) – heard, chue – chut/-a/-o/-i,VERB,EASY,none,,,,
bg_00495,атмосферно налягане,atmospheric pressure, atmosferno nalyagane,MEDIUM PHRASE,EASY,none,,,,
bg_00496,друга почивка,another vacation, druga pochivka,MEDIUM PHRASE,UNTESTED,none,,,,
bg_00497,други градове (не 'гради'),other cities , drugi gradove (ne 'gradi'),SHORT PHRASE,EASY,none,,,,
bg_00498,кръвно налягане,blood pressure, krŭvno nalyagane,MEDIUM PHRASE,EASY,none,,,,
bg_00499,"Мадрид ни хареса, когато го посетихме преди две години. (не 'пристигнахме')",We liked Madrid when we visited it two years ago. ," Madrid ni kharesa, kogato go posetikhme predi dve godini. (ne 'pristignakhme')",LONG PHRASE,EASY,none,,,,
bg_00500,налягане в гумите на колата,tyre pressure, nalyagane v gumite na kolata,MEDIUM PHRASE,EASY,none,,,,
bg_00501,Не бяхме чути.,We were not heard., Ne byakhme chuti.,MEDIUM PHRASE,UNTESTED,none,,,,
bg_00502,Парите бяха дадени на хората.,The money was given to the people., Parite byakha dadeni na khorata.,MEDIUM PHRASE,UNTESTED,none,,,,
bg_00503,Съжалявам за объркването.,I'm sorry for the confusion., Sŭzhalyavam za obŭrkvaneto.,MEDIUM PHRASE,HARD,none,,,,
bg_00504,Храната беше донесена навреме.,The food was brought on time., Khranata beshe donesena navreme.,MEDIUM PHRASE,EASY,none,,,,
bg_00505,преумора x3,"overwork fatigue, exhaustion  (lit. excessive tiredness)", preumora x3,MEDIUM,HARD,none,,,,
bg_00506,бивш/а/е/и x 2,"ex, former", bivsh/a/e/i x 2,MEDIUM PHRASE,HARD,none,,,,
bg_00507,таблица/-и,a table (info), tablitsa/-i,MEDIUM,EASY,none,,,,
bg_00508,седи/-я,be seated (state), sedi/-ya,VERB,EASY,none,,,,
bg_00509,Влаченето на краката ти ще повреди обувките ти.,"Dragging (the act of dragging, noun) your feet will harm your shoes.", Vlacheneto na krakata ti shte povredi obuvkite ti.,LONG PHRASE,EASY,none,,,,
bg_00510,слабини,groin, slabini,SHORT,HARD,none,,,,
bg_00511,белезници,handcuffs, beleznitsi,MEDIUM,HARD,none,,,,
bg_00512,"Влезе, влачейки кратака си. / Влезе, като влачеше краката си.",He came in dragging his feet. X2," Vleze, vlacheĭki krataka si. / Vleze, kato vlacheshe krakata si.",LONG PHRASE,UNTESTED,none,,,,
bg_00513,Държа купата десет минути.,He held the bowl for 10 minutes. (finished action), Dŭrzha kupata deset minuti.,MEDIUM PHRASE,HARD,none,,,,
bg_00514,"Държеше купата, докато говорехме.",He was holding the bowl while we were talking. (ongoing action)," Dŭrzheshe kupata, dokato govorekhme.",LONG PHRASE,UNTESTED,none,,,,
bg_00515,вървеше,he was walking, vŭrveshe,VERB,EASY,none,,,,
bg_00516,крещеше,he was yelling, kreshteshe,MEDIUM,EASY,none,,,,
bg_00517,Лежах до късно. X2,I lay (remained lying) until late., Lezhakh do kŭsno. X2,MEDIUM PHRASE,EASY,none,,,,
bg_00518,Легнах късно. X2,I layed down / went to bed late., Legnakh kŭsno. X2,MEDIUM PHRASE,EASY,none,,,,
bg_00519,Отнема на мозъка ми много време.,It takes my brain a long time., Otnema na mozŭka mi mnogo vreme.,MEDIUM PHRASE,EASY,none,,,,
bg_00520,лежи/-а X2,"lay, to be lying down (state)", lezhi/-a X2,VERB,EASY,none,,,,
bg_00521,"ляга/-м, легне/-а",lie down (action) X2 tenses," lyaga/-m, legne/-a",VERB,EASY,none,,,,
bg_00522,именно,namely, imenno,SHORT,EASY,none,,,,
bg_00523,"събира/-м, събере/-а багаж",pack luggage X2 tenses," sŭbira/-m, sŭbere/-a bagazh",VERB,EASY,none,,,,
bg_00524,тегли/-я X2,"pull, drag  alt", tegli/-ya X2,VERB,HARD,none,,,,
bg_00525,напоследък,recently, naposledŭk,MEDIUM,EASY,none,,,,
bg_00526,стои/- x2,"stay (state), stand", stoi/- x2,VERB,HARD,none,,,,
bg_00527,"остава/-м, остане/-а X2","stay, remain (action)  X2 tenses"," ostava/-m, ostane/-a X2",VERB,EASY,none,,,,
bg_00528,тримата спряха,the three stopped, trimata spryakha,MEDIUM PHRASE,EASY,none,,,,
bg_00529,превод,translation, prevod,MEDIUM,EASY,none,,,,
bg_00530,върви/-я,walk, vŭrvi/-ya,VERB,EASY,none,,,,
bg_00531,Седяхме на една пейка до късно. X2,We sat (remained seated) on a bench until late., Sedyakhme na edna peĭka do kŭsno. X2,LONG PHRASE,UNTESTED,none,,,,
bg_00532,Седнахме.,We sat down., Sednakhme.,MEDIUM,EASY,none,,,,
bg_00533,Остана до 5.,She stayed until 5., Ostana do 5.,MEDIUM PHRASE,EASY,none,,,,
bg_00534,Стоеше до вратата..,He was standing next to the door, Stoeshe do vratata..,MEDIUM PHRASE,UNTESTED,none,,,,
bg_00535,"знае - аз знаех, ти/той знаеше X3 tenses","knows - I knew, you/he knew  x3 tenses"," znae - az znaekh, ti/toĭ znaeshe X3 tenses",VERB,EASY,none,,,,
bg_00536,"мълчи - аз мълчах, ти/той мълчеше  x3 tenses","is silent - I was silent, you/he was silent  x3 tenses"," mŭlchi - az mŭlchakh, ti/toĭ mŭlcheshe x3 tenses",VERB,EASY,none,,,,
bg_00537,"спи - аз спах, ти/той спа X3 tenses","sleep - I slept, you/he slept  x3 tenses"," spi - az spakh, ti/toĭ spaX3 tenses",VERB,EASY,none,,,,
bg_00538,"спре - аз спрях, ти/той спря  x3 tenses","stop (PERF) - I stopped, you/he stopped  x3 tenses"," spre - az spryakh, ti/toĭ sprya x3 tenses",VERB,EASY,none,,,,
bg_00539,грее/-я - топли/-я X2,heats - warms  X2 tenses, gree/-ya - topli/-ya X2,VERB,EASY,none,,,,
bg_00540,Винаги бъркам видовете. (не 'бърквам'),I always mix up the types. (not 'mix'), Vinagi bŭrkam vidovete. (ne 'bŭrkvam'),LONG PHRASE,UNTESTED,none,,,,
bg_00541,глаголи за състояние,verbs of state, glagoli za sŭstoyanie,MEDIUM PHRASE,EASY,none,,,,
bg_00542,Отне ми много време да направя тази таблица.,It took me a long time to make this table., Otne mi mnogo vreme da napravya tazi tablitsa.,LONG PHRASE,EASY,none,,,,
bg_00543,Направих тази таблица.,I made this table., Napravikh tazi tablitsa.,MEDIUM PHRASE,HARD,none,,,,
bg_00544,първата грешка (не 'първия'),the first mistake (not 'first'), pŭrvata greshka (ne 'pŭrviya'),MEDIUM PHRASE,EASY,none,,,,
bg_00545,Преводът беше труден.,The translation was difficult., Prevodŭt beshe truden.,MEDIUM PHRASE,HARD,none,,,,
bg_00546,"сяда/-м, седне/-а ",sit down (action)," syada/-m, sedne/-a ",VERB,EASY,none,,,,
bg_00547,"Той приличаше на дете. (that was the state, case)",He looked like a child. ," Toĭ prilichashe na dete. (that was the state, case)",MEDIUM PHRASE,HARD,none,,,,
bg_00548,"ние мълчахме, вие мълчахме, те мълчаха","we were silent, you were silent, they were silent"," nie mŭlchakhme, vie mŭlchakhme, te mŭlchakha",LONG PHRASE,EASY,none,,,,
bg_00549,Грея/топля храната в микровълновата. X2,I am heating/warming the food in the microwave., Greya/toplya khranata v mikrovŭlnovata. X2,LONG PHRASE,EASY,none,,,,
bg_00550,Трябва да откарам Бени в хотела за животни.,I have to take Benny to the animal hotel., Tryabva da otkaram Beni v khotela za zhivotni.,LONG PHRASE,EASY,none,,,,
bg_00551,два урока,two lessons, dva uroka,MEDIUM,EASY,none,,,,
bg_00552,"нанася/-м, нанесе/-а","apply (e.g. cream, paint) x 2 tenses"," nanasya/-m, nanese/-a",VERB,HARD,none,,,,
bg_00553,смел/-а/-о/-и,brave, smel/-a/-o/-i,MEDIUM,EASY,none,,,,
bg_00554,известна личност,celebrity, izvestna lichnost,MEDIUM,EASY,none,,,,
bg_00555,твърди/-я,claim, tvŭrdi/-ya,VERB,EASY,none,,,,
bg_00556,състояние/-я,condition, sŭstoyanie/-ya,MEDIUM,EASY,none,,,,
bg_00557,смята/-м,consider, smyata/-m,VERB,HARD,none,,,,
bg_00558,разстройство/-а,disorder, razstroĭstvo/-a,MEDIUM,HARD,none,,,,
bg_00559,"претърпява/-м, претърпи/-я x2","endure, undergo x 2 tenses"," pretŭrpyava/-m, pretŭrpi/-ya x2",VERB,HARD,none,,,,
bg_00560,някога x4,"ever; in the past, once, formerly", nyakoga x4,MEDIUM,HARD,none,,,,
bg_00561,функция/-и,function, funktsiya/-i,MEDIUM,EASY,none,,,,
bg_00562,"предполага/-м, предположи/-а x2","guess, suppose x 2 tenses"," predpolaga/-m, predpolozhi/-a x2",VERB,HARD,none,,,,
bg_00563,несъвършенство/-а,imperfection, nesŭvŭrshenstvo/-a,MEDIUM,EASY,none,,,,
bg_00564,"настоява/-м, настои/-я",insist x 2 tenses," nastoyava/-m, nastoi/-ya",VERB,HARD,none,,,,
bg_00565,"намесва/-м се, намеси/-я се",interfere x 2 tenses," namesva/-m se, namesi/-ya se",VERB,HARD,none,,,,
bg_00566,"присъединява/-м се, присъедини/-я се към",join x 2 tenses," prisŭedinyava/-m se, prisŭedini/-ya se kŭm",VERB,EASY,none,,,,
bg_00567,просто бъди смела,just be brave, prosto bŭdi smela,MEDIUM PHRASE,EASY,none,,,,
bg_00568,предстои/-я x4,"lie ahead, be imminent, impend, be in store", predstoi/-ya x4,VERB,HARD,none,,,,
bg_00569,магически/-ска/-ско/-ски,magic, magicheski/-ska/-sko/-ski,MEDIUM,EASY,none,,,,
bg_00570,"смесва/-м, смеси/-я",mix x 2 tenses," smesva/-m, smesi/-ya",VERB,EASY,none,,,,
bg_00571,все по-популярна,more and more popular (F), vse po-populyarna,MEDIUM PHRASE,EASY,none,,,,
bg_00572,някога смятана за табу.,once considered taboo, nyakoga smyatana za tabu.,MEDIUM PHRASE,EASY,none,,,,
bg_00573,съвършен/-а/-о/-и x2,"perfect, impeccable", sŭvŭrshen/-a/-o/-i x2,MEDIUM,HARD,none,,,,
bg_00574,"предлага/-м, предложи/-а x2","propose, offer x 2 tenses"," predlaga/-m, predlozhi/-a x2",VERB,EASY,none,,,,
bg_00575,"киха/-м, кихне/-а",sneeze x 2 tenses," kikha/-m, kikhne/-a",VERB,EASY,none,,,,
bg_00576,предстоящ/-а/-о/-и,upcoming, predstoyasht/-a/-o/-i,MEDIUM,HARD,none,,,,
bg_00577,капка / капки,drop – drops, kapka / kapki,MEDIUM PHRASE,HARD,none,,,,
bg_00578,обува / обуван/-а/-о/-и,put on a shoe (imp) – shod, obuva / obuvan/-a/-o/-i,VERB,EASY,none,,,,
bg_00579,Носът ми тече много.,My nose is running a lot., Nosŭt mi teche mnogo.,MEDIUM PHRASE,EASY,none,,,,
bg_00580,Ще отнеме много години.,It will take many years., Shte otneme mnogo godini.,MEDIUM PHRASE,EASY,none,,,,
bg_00581,Тези обувки никога не са били обувани.,These shoes have never been worn., Tezi obuvki nikoga ne sa bili obuvani.,MEDIUM PHRASE,EASY,none,,,,
bg_00582,"Казах, че не искам пари, но той настоява да ми плати.","I said I don't want money, but he insists on paying m"," Kazakh, che ne iskam pari, no toĭ nastoyava da mi plati.",LONG PHRASE,HARD,none,,,,
bg_00583,преживяване,experience (something that has happened to someone), prezhivyavane,MEDIUM,EASY,none,,,,
bg_00584,за еднократна употреба x2,"single use, disposable", za ednokratna upotreba x2,MEDIUM PHRASE,HARD,none,,,,
bg_00585,една грешка,one mistake, edna greshka,MEDIUM PHRASE,EASY,none,,,,
bg_00586,козметичен хирург,cosmetic surgeon, kozmetichen khirurg,MEDIUM PHRASE,EASY,none,,,,
bg_00587,"SoYoung е приложение, което анализира лицеви дефекти.",SoYoung is an application that analyzes facial defects.," SoYoung e prilozhenie, koeto analizira litsevi defekti.",LONG PHRASE,EASY,none,,,,
bg_00588,за анализиране на лицеви дефекти,for analyzing facial defects, za analizirane na litsevi defekti,MEDIUM PHRASE,EASY,none,,,,
bg_00589,Причината е голямото търсене на козметични операции.,The reason is the high demand for cosmetic surgeries., Prichinata e golyamoto tŭrsene na kozmetichni operatsii.,LONG PHRASE,EASY,none,,,,
bg_00590,"квалификациите, които са нужни",the qualifications that are needed," kvalifikatsiite, koito sa nuzhni",MEDIUM PHRASE,EASY,none,,,,
bg_00591,Много клиники нямат лиценз.,Many clinics do not have a license., Mnogo kliniki nyamat litsenz.,MEDIUM PHRASE,EASY,none,,,,
bg_00592,В Англия не е толкова често срещано.,It is not so common in England., V Angliya ne e tolkova chesto sreshtano.,MEDIUM PHRASE,HARD,none,,,,
bg_00593,твърде големи устни,too big lips, tvŭrde golemi ustni,MEDIUM PHRASE,EASY,none,,,,
bg_00594,"нито в България, нито в Англия",neither in Bulgaria nor in England," nito v Bŭlgariya, nito v Angliya",MEDIUM PHRASE,EASY,none,,,,
bg_00595,размерът/размера на устните (не 'от'),the size/size of the lips , razmerŭt/razmera na ustnite (ne 'ot'),MEDIUM PHRASE,EASY,none,,,,
bg_00596,Не е здравословно. (не 'здраво'),It is not healthy. , Ne e zdravoslovno. (ne 'zdravo'),MEDIUM PHRASE,EASY,none,,,,
bg_00597,опитва/-м се да ,try to + verb only, opitva/-m se da + verb or noun?,VERB,HARD,none,,,,
bg_00598,опитва/-м (без 'се'),try + verb or noun, opitva/-m + verb or noun?,VERB,HARD,none,,,,
bg_00599,опитва/-м се verb or noun?,try + verb only, opitva/-m se verb or noun?,VERB,EASY,none,,,,
bg_00600,"хора, които не се интересуват от такива неща",people who are not interested in such things," khora, koito ne se interesuvat ot takiva neshta",LONG PHRASE,EASY,none,,,,
bg_00601,ако си нещастен / ако не си щастлив,if you are unhappy / if you are not happy, ako si neshtasten / ako ne si shtastliv,LONG PHRASE,EASY,none,,,,
bg_00602,Това е написано в документа.,This is written in the document., Tova e napisano v dokumenta.,MEDIUM PHRASE,EASY,none,,,,
bg_00603,Кой е написал това?,Who has written this?, Koĭ e napisal tova?,MEDIUM PHRASE,EASY,none,,,,
bg_00604,Видеото беше гледано от милион души.,The video was watched by a million people., Videoto beshe gledano ot milion dushi.,LONG PHRASE,EASY,none,,,,
bg_00605,Всичко нужно беше донесено.,Everything needed was brought., Vsichko nuzhno beshe doneseno.,MEDIUM PHRASE,EASY,none,,,,
bg_00606,Това яке беше носено много пъти.,This jacket was worn many times., Tova yake beshe noseno mnogo pŭti.,MEDIUM PHRASE,EASY,none,,,,
bg_00607,Носил съм това яке много пъти.,I have worn this jacket many times., Nosil sŭm tova yake mnogo pŭti.,MEDIUM PHRASE,EASY,none,,,,
bg_00608,Компанията е внесла частите.,The company has imported the parts., Kompaniyata e vnesla chastite.,MEDIUM PHRASE,EASY,none,,,,
bg_00609,Частите бяха внесени.,The parts were imported., Chastite byakha vneseni.,MEDIUM PHRASE,EASY,none,,,,
bg_00610,разваля/и/и се (Eng x3),"break down/stop working, go bad (food) x3 tenses", razvalya/i/i se (Eng x3),VERB,EASY,none,,,,
bg_00611,постига/не/на,achieve x3 tenses, postiga/ne/na,VERB,EASY,none,,,,
bg_00612,запознава/нае/а се,meet for the first time (not среща) x3 tenses, zapoznava/nae/a se,VERB,EASY,none,,,,
bg_00613,качва/и/и (Eng x2),put up / upload x3 tenses, kachva/i/i (Eng x2),VERB,EASY,none,,,,
bg_00614,лечение,treatment, lechenie,MEDIUM,EASY,none,,,,
bg_00615,професионалист/-и,a professional, profesionalist/-i,MEDIUM,EASY,none,,,,
bg_00616,временен/-нна/-нно/-нни,temporary, vremenen/-nna/-nno/-nni,ADJECTIVE,EASY,none,,,,
bg_00617,ред,order, red,SHORT,EASY,none,,,,
bg_00618,"подрежда/-м, подреди/-я x3","organize, arrange, tidy up x2 tenses"," podrezhda/-m, podredi/-ya x3",VERB,EASY,none,,,,
bg_00619,извънреден/-дна/-дно/-дни,extraordinary, izvŭnreden/-dna/-dno/-dni,ADJECTIVE,EASY,none,,,,
bg_00620,жилище/-а,housing, zhilishte/-a,MEDIUM,HARD,none,,,,
bg_00621,жител/-и,inhabitant, zhitel/-i,MEDIUM,EASY,none,,,,
bg_00622,"удвоява/-м се, удвои/-я се",to double x2 tenses," udvoyava/-m se, udvoi/-ya se",VERB,HARD,none,,,,
bg_00623,каска/-и,helmet, kaska/-i,MEDIUM,EASY,none,,,,
bg_00624,"срутва/-м се, срути/-я се",collapse x2 tenses," srutva/-m se, sruti/-ya se",VERB,HARD,none,,,,
bg_00625,неизползваем/-а/-о/-и,unusable, neizpolzvaem/-a/-o/-i,MEDIUM,HARD,none,,,,
bg_00626,хол/-ове,living room, khol/-ove,MEDIUM,EASY,none,,,,
bg_00627,коридор/-и,corridor, koridor/-i,MEDIUM,EASY,none,,,,
bg_00628,жп (же пе) гара,railway station, zhp (zhe pe) gara,MEDIUM PHRASE,EASY,none,,,,
bg_00629,подобен/-бна/-бно/-бни,similar, podoben/-bna/-bno/-bni,ADJECTIVE,EASY,none,,,,
bg_00630,откакто + verb,since, otkakto + verb,SHORT,EASY,none,,,,
